season,name,nationality,type,team,price
2022,K.S. Bharat ,Indian ,Wicket Keeper , Delhi Capitals,20000000
2022,Mandeep Singh ,Indian ,Batsman , Delhi Capitals,11000000
2022,Syed Khaleel Ahmed ,Indian ,Bowler , Delhi Capitals,52500000
2022,Lungisani Ngidi ,Overseas ,Bowler , Delhi Capitals,5000000
2022,Chetan Sakariya ,Indian ,Bowler , Delhi Capitals,42000000
2022,Yash Dhull ,Indian ,All Rounder , Delhi Capitals,5000000
2022,Vicky Ostwal ,Indian ,All Rounder , Delhi Capitals,2000000
2022,Ripal Patel ,Indian ,All Rounder , Delhi Capitals,2000000
2022,Lalit Yadav ,Indian ,All Rounder , Delhi Capitals,6500000
2022,Rovman Powell ,Overseas ,Batsman , Delhi Capitals,28000000
2022,Tim Seifert ,Overseas ,Wicket Keeper , Delhi Capitals,5000000
2022,Pravin Dubey ,Indian ,All Rounder , Delhi Capitals,5000000
2022,Mohammad Shami ,Indian ,Bowler , Gujarat Titans,62500000
2022,David Miller ,Overseas ,Batsman , Gujarat Titans,30000000
2022,Jason Roy  ,Overseas ,Batsman , Gujarat Titans,20000000
2022,Wriddhiman  Saha ,Indian ,Wicket Keeper , Gujarat Titans,19000000
2022,Matthew Wade ,Overseas ,Wicket Keeper , Gujarat Titans,24000000
2022,Lockie Ferguson ,Overseas ,Bowler , Gujarat Titans,100000000
2022,Abhinav Sadarangani ,Indian ,Batsman , Gujarat Titans,26000000
2022,Rahul Tewatia ,Indian ,All Rounder , Gujarat Titans,90000000
2022,Noor  Ahmad ,Overseas ,Bowler , Gujarat Titans,3000000
2022,R. Sai Kishore ,Indian ,Bowler , Gujarat Titans,30000000
2022,Dominic Drakes ,Overseas ,All Rounder , Gujarat Titans,11000000
2022,Vijay Shankar ,Indian ,All Rounder , Gujarat Titans,14000000
2022,Jayant Yadav ,Indian ,All Rounder , Gujarat Titans,17000000
2022,Darshan Nalkande ,Indian ,All Rounder , Gujarat Titans,2000000
2022,Yash  Dayal ,Indian ,Bowler , Gujarat Titans,32000000
2022,B. Sai Sudharsan ,Indian ,All Rounder , Gujarat Titans,2000000
2022,Gurkeerat Singh ,Indian ,All Rounder , Gujarat Titans,5000000
2022,Alzarri Joseph ,Overseas ,Bowler , Gujarat Titans,24000000
2022,Varun Aaron ,Indian ,Bowler , Gujarat Titans,5000000
2022,Pradeep Sangwan ,Indian ,All Rounder , Gujarat Titans,2000000
2022,Pat Cummins ,Overseas ,All Rounder , Kolkata Knight Riders,72500000
2022,Shreyas Iyer ,Indian ,Batsman , Kolkata Knight Riders,122500000
2022,Mohammad  Nabi ,Overseas ,All Rounder , Kolkata Knight Riders,10000000
2022,Nitish Rana ,Indian ,All Rounder , Kolkata Knight Riders,80000000
2022,Sam Billings  ,Overseas ,Wicket Keeper , Kolkata Knight Riders,20000000
2022,Umesh Yadav ,Indian ,Bowler , Kolkata Knight Riders,20000000
2022,Shivam  Mavi ,Indian ,All Rounder , Kolkata Knight Riders,72500000
2022,Sheldon Jackson ,Indian ,Wicket Keeper , Kolkata Knight Riders,6000000
2022,Ajinkya Rahane ,Indian ,Batsman , Kolkata Knight Riders,10000000
2022,Rinku Singh ,Indian ,Batsman , Kolkata Knight Riders,5500000
2022,Anukul Roy ,Indian ,All Rounder , Kolkata Knight Riders,2000000
2022,Alex Hales  ,Overseas ,Batsman , Kolkata Knight Riders,15000000
2022,Rasikh Dar ,Indian ,Bowler , Kolkata Knight Riders,2000000
2022,Tim Southee ,Overseas ,Bowler , Kolkata Knight Riders,15000000
2022,Baba Indrajith ,Indian ,Wicket Keeper , Kolkata Knight Riders,2000000
2022,Chamika Karunaratne ,Overseas ,All Rounder , Kolkata Knight Riders,5000000
2022,Abhijeet Tomar ,Indian ,Batsman , Kolkata Knight Riders,4000000
2022,Aman Khan ,Indian ,All Rounder , Kolkata Knight Riders,2000000
2022,Ramesh Kumar ,Indian ,Batsman , Kolkata Knight Riders,2000000
2022,Pratham Singh ,Indian ,Batsman , Kolkata Knight Riders,2000000
2022,Ashok Sharma ,Indian ,Bowler , Kolkata Knight Riders,5500000
2022,Quinton De Kock ,Overseas ,Wicket Keeper , Lucknow Super Giants,67500000
2022,Manish Pandey ,Indian ,Batsman , Lucknow Super Giants,46000000
2022,Krunal Pandya ,Indian ,All Rounder , Lucknow Super Giants,82500000
2022,Mark Wood ,Overseas ,Bowler , Lucknow Super Giants,75000000
2022,Avesh Khan ,Indian ,Bowler , Lucknow Super Giants,100000000
2022,Ankit Singh Rajpoot ,Indian ,Bowler , Lucknow Super Giants,5000000
2022,K. Gowtham ,Indian ,All Rounder , Lucknow Super Giants,9000000
